America the Beautiful

week,popularity
2016-09-04,27
2016-09-11,64
2016-09-18,19
2016-09-25,19
2016-10-02,16
2016-10-09,15
2016-10-16,15
2016-10-23,19
2016-10-30,21
2016-11-06,37
2016-11-13,16
2016-11-20,14
2016-11-27,14
2016-12-04,15
2016-12-11,14
2016-12-18,9
2016-12-25,12
2017-01-01,18
2017-01-08,15
2017-01-15,36
2017-01-22,18
2017-01-29,24
2017-02-05,100
2017-02-12,24
2017-02-19,19
2017-02-26,15
2017-03-05,17
2017-03-12,17
2017-03-19,20
2017-03-26,17
2017-04-02,17
2017-04-09,17
2017-04-16,18
2017-04-23,21
2017-04-30,19
2017-05-07,19
2017-05-14,18
2017-05-21,23
2017-05-28,37
2017-06-04,21
2017-06-11,19
2017-06-18,20
2017-06-25,30
2017-07-02,86
2017-07-09,22
2017-07-16,21
2017-07-23,22
2017-07-30,24
2017-08-06,24
2017-08-13,24
2017-08-20,23
2017-08-27,19
2017-09-03,18
2017-09-10,20
2017-09-17,16
2017-09-24,29
2017-10-01,19
2017-10-08,16
2017-10-15,18
2017-10-22,21
2017-10-29,18
2017-11-05,29
2017-11-12,19
2017-11-19,14
2017-11-26,11
2017-12-03,13
2017-12-10,12
2017-12-17,11
2017-12-24,11
2017-12-31,14
2018-01-07,13
2018-01-14,16
2018-01-21,13
2018-01-28,16
2018-02-04,51
2018-02-11,16
2018-02-18,19
2018-02-25,17
2018-03-04,17
2018-03-11,16
2018-03-18,17
2018-03-25,17
2018-04-01,15
2018-04-08,16
2018-04-15,19
2018-04-22,18
2018-04-29,18
2018-05-06,18
2018-05-13,19
2018-05-20,25
2018-05-27,29
2018-06-03,23
2018-06-10,22
2018-06-17,19
2018-06-24,26
2018-07-01,83
2018-07-08,24
2018-07-15,21
2018-07-22,17
2018-07-29,15
2018-08-05,16
2018-08-12,19
2018-08-19,17
2018-08-26,25
2018-09-02,19
2018-09-09,25
2018-09-16,17
2018-09-23,17
2018-09-30,16
2018-10-07,16
2018-10-14,18
2018-10-21,16
2018-10-28,20
2018-11-04,26
2018-11-11,22
2018-11-18,12
2018-11-25,12
2018-12-02,18
2018-12-09,13
2018-12-16,11
2018-12-23,9
2018-12-30,13
2019-01-06,14
2019-01-13,12
2019-01-20,14
2019-01-27,15
2019-02-03,64
2019-02-10,19
2019-02-17,15
2019-02-24,15
2019-03-03,14
2019-03-10,14
2019-03-17,14
2019-03-24,15
2019-03-31,18
2019-04-07,17
2019-04-14,16
2019-04-21,18
2019-04-28,17
2019-05-05,17
2019-05-12,16
2019-05-19,23
2019-05-26,28
2019-06-02,21
2019-06-09,18
2019-06-16,20
2019-06-23,21
2019-06-30,73
2019-07-07,22
2019-07-14,20
2019-07-21,20
2019-07-28,18
2019-08-04,18
2019-08-11,18
2019-08-18,15
2019-08-25,17
2019-09-01,17
2019-09-08,23
2019-09-15,18
2019-09-22,17
2019-09-29,16
2019-10-06,14
2019-10-13,15
2019-10-20,16
2019-10-27,15
2019-11-03,23
2019-11-10,21
2019-11-17,14
2019-11-24,13
2019-12-01,12
2019-12-08,12
2019-12-15,10
2019-12-22,11
2019-12-29,14
2020-01-05,14
2020-01-12,14
2020-01-19,15
2020-01-26,15
2020-02-02,50
2020-02-09,16
2020-02-16,15
2020-02-23,15
2020-03-01,16
2020-03-08,12
2020-03-15,9
2020-03-22,17
2020-03-29,16
2020-04-05,14
2020-04-12,13
2020-04-19,15
2020-04-26,14
2020-05-03,13
2020-05-10,16
2020-05-17,21
2020-05-24,26
2020-05-31,19
2020-06-07,19
2020-06-14,22
2020-06-21,30
2020-06-28,66
2020-07-05,45
2020-07-12,21
2020-07-19,20
2020-07-26,19
2020-08-02,19
2020-08-09,18
2020-08-16,18
2020-08-23,22
2020-08-30,21
2020-09-06,22
2020-09-13,19
2020-09-20,18
2020-09-27,17
2020-10-04,16
2020-10-11,13
2020-10-18,17
2020-10-25,19
2020-11-01,30
2020-11-08,29
2020-11-15,15
2020-11-22,13
2020-11-29,13
2020-12-06,13
2020-12-13,11
2020-12-20,10
2020-12-27,16
2021-01-03,16
2021-01-10,15
2021-01-17,35
2021-01-24,14
2021-01-31,15
2021-02-07,89
2021-02-14,17
2021-02-21,14
2021-02-28,15
2021-03-07,15
2021-03-14,12
2021-03-21,16
2021-03-28,15
2021-04-04,16
2021-04-11,16
2021-04-18,16
2021-04-25,18
2021-05-02,33
2021-05-09,18
2021-05-16,17
2021-05-23,24
2021-05-30,30
2021-06-06,17
2021-06-13,19
2021-06-20,22
2021-06-27,41
2021-07-04,76
2021-07-11,20
2021-07-18,16
2021-07-25,18
2021-08-01,15
2021-08-08,15
2021-08-15,15
2021-08-22,16
2021-08-29,16
2021-09-05,22
2021-09-12,17
2021-09-19,14
2021-09-26,12
2021-10-03,12
2021-10-10,13
2021-10-17,12
